"id","user_id","message_id","title","seen","created_at","updated_at","content","archive_record_id"
"1","12","1","دليل برنامج نطاقات المطور",False,"2024-06-24 16:34:00.585117","2024-06-24 16:34:00.585117",NULL,NULL
"2","24","1","دليل برنامج نطاقات المطور",True,"2024-06-24 16:34:00.589079","2024-06-24 16:45:03.132904",NULL,NULL
"3","32","1","دليل برنامج نطاقات المطور",True,"2024-06-24 16:34:00.593604","2024-06-30 20:34:47.328051",NULL,NULL
"4","38","1","دليل برنامج نطاقات المطور",True,"2024-06-24 16:34:00.597193","2024-06-24 16:35:33.943184",NULL,NULL
"5","82","1","دليل برنامج نطاقات المطور",True,"2024-06-24 16:34:00.601202","2024-07-01 14:07:08.423442",NULL,NULL
"6","12","2","دليل توطين مهن المبيعات",False,"2024-06-24 16:42:04.111125","2024-06-24 16:42:04.111125",NULL,NULL
"7","38","2","دليل توطين مهن المبيعات",True,"2024-06-24 16:42:04.114578","2024-06-24 16:43:29.97779",NULL,NULL
"8","12","3","تعرف على قرار توطين مهن التسويق.",False,"2024-06-24 16:47:33.688233","2024-06-24 16:47:33.688233",NULL,NULL
"9","24","3","تعرف على قرار توطين مهن التسويق.",True,"2024-06-24 16:47:33.691121","2024-06-24 16:51:55.060626",NULL,NULL
"10","2","4","مرحبا ",False,"2024-06-24 17:44:53.438764","2024-06-24 17:44:53.438764",NULL,NULL
"11","12","5","لائحة برنامج نطاقات وأهدافه",False,"2024-06-25 13:10:06.1779","2024-06-25 13:10:06.1779",NULL,NULL
"12","38","5","لائحة برنامج نطاقات وأهدافه",True,"2024-06-25 13:10:06.181852","2024-06-25 13:11:52.374954",NULL,NULL
"13","12","6","تمكين أصحاب الأعمال والأفراد: تعرَّف على منصة قوى الجديدة!",False,"2024-06-25 13:23:59.27674","2024-06-25 13:23:59.27674",NULL,NULL
"14","38","6","تمكين أصحاب الأعمال والأفراد: تعرَّف على منصة قوى الجديدة!",True,"2024-06-25 13:23:59.281948","2024-06-25 13:26:43.823895",NULL,NULL
"15","1","7","تجربة الاشعارات",True,"2024-06-25 13:44:31.80793","2024-06-25 17:02:12.756186",NULL,NULL
"16","12","7","تجربة الاشعارات",False,"2024-06-25 13:44:31.811673","2024-06-25 13:44:31.811673",NULL,NULL
"17","38","7","تجربة الاشعارات",True,"2024-06-25 13:44:31.814933","2024-06-25 13:59:29.080333",NULL,NULL
"18","12","8","تجربة الاشعارات",False,"2024-06-25 13:48:03.646546","2024-06-25 13:48:03.646546",NULL,NULL
"19","38","8","تجربة الاشعارات",True,"2024-06-25 13:48:03.649676","2024-06-30 22:47:45.94045",NULL,NULL
"20","12","9","تجربة الاشعارات",False,"2024-06-25 13:55:44.69309","2024-06-25 13:55:44.69309",NULL,NULL
"21","38","9","تجربة الاشعارات",True,"2024-06-25 13:55:44.696287","2024-06-30 22:47:51.862347",NULL,NULL
"22","1",NULL,"تجربة - شارف على الانتهاء",True,"2024-07-01 13:41:01.779218","2024-07-01 13:42:51.672108","السادة / تجربة

نفيدكم بأن تصريح بيئي بأسم 5984834ه0ث ورقم 5984834ه0ث سينتهي خلال 30 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة

مع تمنياتنا لكم بالتوفيق والنجاح
منصة إلمام..","8"
"23","1",NULL,"تجربة - شارف على الانتهاء",True,"2024-07-01 14:01:02.189412","2024-07-01 14:02:15.197003","<p style='margin-bottom: 1em;'>السادة / تجربة</p><p>نفيدكم بأن تصريح بيئي بأسم تجربة ورقم 5984834ه0ث سينتهي خلال 30 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","8"
"24","173",NULL,"شركة قهوة إراء المختصة - منتهي",True,"2024-07-02 00:01:00.476601","2024-07-02 00:14:12.892453","<p style='margin-bottom: 1em;'>السادة / شركة قهوة إراء المختصة</p><p>نفيدكم بأن سجل تجاري بأسم شركة قهوة إراء المختصة ورقم 1010481473 سينتهي خلال 0 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","9"
"25","173",NULL,"قهوة إراء - شارف على الانتهاء",True,"2024-07-03 03:00:28.21425","2024-07-04 12:11:32.060642","<p style='margin-bottom: 1em;'>السادة / قهوة إراء</p><p>نفيدكم بأن رخصة بلدية بأسم قهوة إراء ورقم 43000222333 سينتهي خلال 30 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","12"
"26","38",NULL,"اطياب البوادي - شارف على الانتهاء",True,"2024-07-03 03:00:28.224209","2024-07-03 09:32:49.641751","<p style='margin-bottom: 1em;'>السادة / اطياب البوادي</p><p>نفيدكم بأن عنوان وطني بأسم اطياب البوادي ورقم 132132132 سينتهي خلال 30 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","16"
"27","38",NULL,"مصنع أطياب البوادي - شارف على الانتهاء",True,"2024-07-03 03:00:28.231866","2024-07-03 19:27:49.546818","<p style='margin-bottom: 1em;'>السادة / مصنع أطياب البوادي</p><p>نفيدكم بأن تصريح بيئي بأسم مصنع أطياب البوادي ورقم EPOPP-2023-001387 سينتهي خلال 10 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","7"
"28","173",NULL,"قهوة إراء - منتهي",True,"2024-07-03 03:00:28.238971","2024-07-04 12:11:10.007277","<p style='margin-bottom: 1em;'>السادة / قهوة إراء</p><p>نفيدكم بأن عنوان وطني بأسم قهوة إراء ورقم 50505050 سينتهي خلال 0 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","11"
"29","38",NULL,"اطياب البوادي - منتهي",True,"2024-07-03 03:00:28.24423","2024-07-03 19:27:44.30097","<p style='margin-bottom: 1em;'>السادة / اطياب البوادي</p><p>نفيدكم بأن الغذاء والدواء بأسم اطياب البوادي ورقم 369874125 سينتهي خلال 0 يوم، نأمل اتخاذ الاجراء المناسب ثم تحديث البيانات في صفحة التنبيهات في منصة إلمام لتسهيل عملية المتابعة</p><p style='margin-bottom: 1em;'>مع تمنياتنا لكم بالتوفيق والنجاح</p><p>منصة إلمام..</p>","13"
"30","1","10","المنصة التوعوية للتعريف بالتعديلات على نظامي التقاعد المدني والتأمينات الاجتماعية",True,"2024-07-03 08:46:50.764116","2024-07-03 08:48:35.370784",NULL,NULL
